general	The capital city of France is
general	The chemical symbol for the element gold is
general	The largest planet in our solar system is
general	The author of the play Romeo and Juliet is
general	The tallest mountain above sea level on Earth is
general	Water is composed of hydrogen and the element
general	The number of continents on Earth is
general	The ocean between Europe and North America is called the
general	The speed of light in a vacuum is approximately three hundred thousand kilometers per
general	The currency used in Japan is called the
general	The first president of the United States was
general	The powerhouse of the cell is commonly called the
general	The gas that plants absorb from the air for photosynthesis is
general	The freezing point of water in degrees Celsius is
general	The painter of the Mona Lisa was Leonardo da
general	The chemical symbol for the element oxygen is
general	The largest mammal on Earth is the blue
general	The capital city of Japan is
general	The planet known as the Red Planet is
general	The primary language spoken in Brazil is
general	The author of the theory of general relativity was Albert
general	The metal that is liquid at room temperature is
general	The number of days in a leap year is
general	The common currency used across most of the European Union is the
general	The tallest living land animal is the
general	The first person to walk on the Moon was Neil
general	The longest river in the world is generally considered the
general	The hardest naturally occurring material is
general	The gas that makes up most of Earth's atmosphere is
general	The capital city of Italy is
general	The organ in the human body that pumps blood is the
general	The country that gifted the Statue of Liberty to the United States was
general	The largest ocean on Earth is the
general	The scientist who formulated the three laws of motion was Isaac
general	The capital city of Russia is
general	The chemical symbol for the element iron is
general	The closest star to the Earth is the
general	The author of the tragedy Hamlet was William
general	The number of degrees in a right angle is
general	The primary gas responsible for the greenhouse effect from human activity is carbon
general	The continent on which the Sahara Desert is located is
general	The number of sides on a hexagon is
general	The element with the atomic number one is
general	The largest internal organ in the human body is the
general	The force that pulls objects toward the center of the Earth is
general	The capital city of Canada is
general	The primary colors of light are red, green, and
general	The planet closest to the Sun is
general	The study of living organisms is called
general	The chemical process by which plants convert sunlight into energy is called
medical	The first-line pharmacological treatment for type 2 diabetes is typically the drug
medical	The most common causative organism of community-acquired bacterial pneumonia is
medical	The vitamin whose deficiency causes scurvy is vitamin
medical	The hormone that lowers blood glucose by promoting cellular uptake is
medical	The classic triad of symptoms in diabetic ketoacidosis includes hyperglycemia, ketosis, and
medical	The antidote used to reverse an opioid overdose is
medical	The bacterium responsible for most peptic ulcers is Helicobacter
medical	A normal resting adult heart rate in beats per minute is roughly
medical	The imaging study of first choice for suspected acute ischemic stroke is a non-contrast
medical	The most common cause of chronic obstructive pulmonary disease is cigarette
medical	The electrolyte abnormality most associated with peaked T waves on an ECG is elevated
medical	The anticoagulant that requires monitoring of the INR is
medical	The nerve responsible for innervating the diaphragm is the
medical	The autoimmune destruction of pancreatic beta cells causes type 1
medical	The first-line treatment for anaphylaxis is intramuscular
medical	The organ primarily responsible for filtering blood and producing urine is the
medical	The vitamin synthesized in the skin upon exposure to sunlight is vitamin
medical	The medical term for a heart attack is myocardial
medical	The largest artery in the human body is the
medical	The number of chambers in the human heart is
medical	The white blood cells that mature into antibody-producing plasma cells are the B
medical	The protein that carries oxygen within red blood cells is
medical	The medical term for chronically elevated blood pressure is
medical	The medical term for abnormally low blood glucose is
medical	The neurotransmitter that is deficient in Parkinson disease is
medical	The most common chemical composition of kidney stones is calcium
medical	The medical term for shortness of breath or difficulty breathing is
medical	The small cell fragments in blood responsible for clotting are called
medical	The medical term for inflammation of the appendix is
medical	The hormone secreted by the thyroid gland that regulates metabolism is
medical	The virus that causes acquired immunodeficiency syndrome is
medical	The region of the brain responsible for balance and coordination is the
medical	The muscle that separates the thoracic cavity from the abdominal cavity is the
medical	The medical term for inflammation of the liver is
medical	The valve located between the left atrium and the left ventricle is the
medical	The condition of a deficiency in red blood cells or hemoglobin is called
medical	The class of antibiotics to which penicillin belongs is the beta
medical	The gland that regulates blood calcium by secreting parathyroid hormone is the
medical	The reversal agent given for warfarin toxicity is vitamin
medical	The medical term for the voice box is the
medical	The blood test that reflects average glucose over three months is hemoglobin
medical	The most common cause of preventable death worldwide is tobacco
medical	The type of diabetes strongly associated with obesity and insulin resistance is type
medical	The pigment that gives skin, hair, and eyes their color is
medical	The medical term for surgical removal of the gallbladder is
medical	The chamber of the heart that pumps oxygenated blood to the body is the left
medical	The most abundant type of cell in human blood is the red blood
medical	The medical specialty concerned with the care of newborn infants is
medical	The vitamin whose deficiency causes rickets in children is vitamin
medical	The leading cause of cancer-related death in both men and women is cancer of the
multihop	Fact: The ocean on the coast of the country where Carnival is most famously celebrated is the
multihop	Fact: The language spoken in the country where the Amazon River ends is
multihop	Fact: The color of the planet fourth from the Sun is
multihop	Fact: The number of legs on the animal that spins webs is
multihop	Fact: The number of players per side in the sport invented in Springfield, Massachusetts is
multihop	Fact: The continent where the country that invented paper is located is
multihop	Fact: The season when the holiday with a decorated tree occurs is
multihop	Fact: The mascot of the college football rival of Ohio State is a
multihop	Fact: The state west of the state with Topeka as its capital is
multihop	Fact: The chemical symbol for the element with atomic number 79 is
multihop	Fact: The chemical symbol for the element with atomic number 26 is
multihop	Fact: The chemical symbol for the element with atomic number 29 is
multihop	Fact: The state of matter at room temperature of the element with atomic number 80 is
multihop	Fact: The flame color produced by burning the element with atomic number 29 is
multihop	Fact: The number of natural moons orbiting the planet third from the Sun is
multihop	Fact: The third month of the year is named after the Roman god of
multihop	Fact: The US state where the Space Needle is located shares its northern border with
multihop	Fact: The European country whose name rhymes with 'rain' shares its western border with
multihop	Fact: Take the number whose name rhymes with the word door. Doubling it gives the number
multihop	Fact: The large mammal whose name rhymes with 'chair' appears on the state flag of
multihop	Fact: The celestial body whose name rhymes with 'spoon' orbits the planet called
multihop	Fact: The month named after the Roman god of war is month number
multihop	Fact: Counting Monday as day 1, the day of the week named after the Norse goddess Frigg is day number
multihop	Fact: The planet named after the Roman god of agriculture and time is planet number
multihop	Fact: The atomic number of the gas that plants release during photosynthesis is
multihop	Fact: The atomic number of the gas that makes up about 78 percent of the atmosphere is
multihop	Fact: The atomic number of the element present in all organic compounds by definition is
multihop	Fact: The atomic number of the metal most abundant in human bones is
multihop	Fact: In humans, the organ that pumps blood through the body has this many chambers:
multihop	Fact: In humans, the number of organs that filter blood to make urine is
multihop	Fact: Emerald is the birthstone for month number
multihop	Fact: The number of strings on the instrument that fiddlers play is
multihop	Count the legs on a spider. The planet at that position from the Sun is Neptune. Count the primary colors of light. The planet at that position from the Sun is
multihop	Count the legs on a spider. The planet at that position from the Sun is Neptune. Count the Olympic rings. The planet at that position from the Sun is
multihop	Count the legs on a spider. The planet at that position from the Sun is Neptune. Count the strings on a standard guitar. The planet at that position from the Sun is
multihop	Count the legs on a spider. The planet at that position from the Sun is Neptune. Count the cardinal directions on a compass. The planet at that position from the Sun is
multihop	Count the legs on a spider. The planet at that position from the Sun is Neptune. Count the players on a volleyball court per team. The planet at that position from the Sun is
multihop	Count the items in a dozen. The element at that position on the periodic table is magnesium. Count the letters in the English alphabet. The element at that position on the periodic table is
multihop	Count the items in a dozen. The element at that position on the periodic table is magnesium. Count the days in a fortnight. The element at that position on the periodic table is
multihop	Count the items in a dozen. The element at that position on the periodic table is magnesium. Count the faces on a cube. The element at that position on the periodic table is
multihop	Count the items in a dozen. The element at that position on the periodic table is magnesium. Count the colors in a rainbow. The element at that position on the periodic table is
multihop	Count the items in a dozen. The element at that position on the periodic table is magnesium. Count the legs on a spider. The element at that position on the periodic table is
multihop	Count the items in a dozen. The element at that position on the periodic table is magnesium. Count the legs on an insect. The element at that position on the periodic table is
multihop	Count the items in a dozen. The element at that position on the periodic table is magnesium. Count the days in a week. The element at that position on the periodic table is
multihop	Fact: The capital city of the largest country by area is
multihop	Fact: The smallest country in the world is located on the continent of
multihop	Fact: The capital city of the most populous country in the world is
multihop	Fact: The country that is the largest island nation by area has its capital at
multihop	Fact: The currency used in the country where the Colosseum stands is the
multihop	Fact: The ocean east of the country that built the Great Wall is the
multihop	Fact: The US Independence Day holiday is celebrated in month number
multihop	Fact: Christmas Day is celebrated in month number
multihop	Fact: Halloween is celebrated in month number
multihop	Fact: Valentine's Day is celebrated in month number
multihop	Fact: The first month of the year is named after the Roman god of
multihop	Fact: The month named after the two-faced Roman god of doorways is month number
multihop	Fact: The seventh month of the year is named after the Roman leader Julius
multihop	Fact: The month named after Julius Caesar is month number
multihop	Count the items in a dozen. The element at that position on the periodic table is magnesium. Count the players on a soccer team on the field. The element at that position on the periodic table is
