general	The capital city of France is
general	The chemical symbol for the element gold is
general	The largest planet in our solar system is
general	The author of the play Romeo and Juliet is
general	The tallest mountain above sea level on Earth is
general	Water is composed of hydrogen and the element
general	The number of continents on Earth is
general	The ocean between Europe and North America is called the
general	The speed of light in a vacuum is approximately three hundred thousand kilometers per
general	The currency used in Japan is called the
general	The first president of the United States was
general	The powerhouse of the cell is commonly called the
general	The gas that plants absorb from the air for photosynthesis is
general	The freezing point of water in degrees Celsius is
general	The painter of the Mona Lisa was Leonardo da
medical	The first-line pharmacological treatment for type 2 diabetes is typically the drug
medical	The most common causative organism of community-acquired bacterial pneumonia is
medical	The vitamin whose deficiency causes scurvy is vitamin
medical	The hormone that lowers blood glucose by promoting cellular uptake is
medical	The classic triad of symptoms in diabetic ketoacidosis includes hyperglycemia, ketosis, and
medical	The antidote used to reverse an opioid overdose is
medical	The bacterium responsible for most peptic ulcers is Helicobacter
medical	A normal resting adult heart rate in beats per minute is roughly
medical	The imaging study of first choice for suspected acute ischemic stroke is a non-contrast
medical	The most common cause of chronic obstructive pulmonary disease is cigarette
medical	The electrolyte abnormality most associated with peaked T waves on an ECG is elevated
medical	The anticoagulant that requires monitoring of the INR is
medical	The nerve responsible for innervating the diaphragm is the
medical	The autoimmune destruction of pancreatic beta cells causes type 1
medical	The first-line treatment for anaphylaxis is intramuscular
